Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
1999-03,-0.0203,-0.0037,0.0455,0.1528,0.0575,0.08539999999999999,-0.0068000000000000005,-0.016399999999999998,0.027000000000000003,0.025099999999999997,0.0297,0.0048
1999-04,0.0391,0.0941,0.087,0.1577,0.1149,0.0226,0.0775,0.0735,0.0038,-0.0553,0.0635,0.078
1999-05,0.0137,-0.0447,-0.0291,-0.031,-0.0435,-0.0083,0.0066,0.0673,-0.0298,-0.0203,-0.0384,-0.04
1999-06,0.0026,0.009300000000000001,0.058499999999999996,-0.0148,0.009000000000000001,0.1159,0.0588,-0.0449,0.08070000000000001,0.0443,0.028300000000000002,0.0374
1999-07,-0.024399999999999998,-0.0603,-0.0149,0.016399999999999998,-0.0026,-0.0171,-0.0172,-0.0058,-0.05,-0.044000000000000004,-0.057300000000000004,-0.0672
1999-08,-0.045899999999999996,0.006,-0.0034999999999999996,0.0192,-0.0101,0.055,-0.0825,0.0058,-0.0596,0.037599999999999995,-0.0512,-0.0479
1999-09,-0.0691,-0.0837,-0.015600000000000001,-0.039599999999999996,-0.0751,-0.0003,0.04650000000000001,-0.042800000000000005,0.0127,-0.0707,-0.0558,-0.0127
1999-10,0.066,0.046,0.049400000000000006,-0.015700000000000002,0.0797,0.0301,0.083,0.0216,0.0321,0.1073,0.1402,0.0262
1999-11,-0.011000000000000001,-0.022000000000000002,-0.0151,0.0381,0.0052,0.1275,0.0461,-0.0736,0.0415,0.0152,-0.0365,0.019799999999999998
1999-12,-0.0264,0.0275,0.12050000000000001,0.0063,0.054000000000000006,0.2076,0.0453,-0.023700000000000002,0.0676,-0.0562,-0.0108,0.10300000000000001
2000-01,-0.0472,-0.013300000000000001,-0.0876,0.0128,-0.0837,-0.0528,-0.0385,0.0554,-0.1101,0.07629999999999999,-0.0449,-0.0513
2000-02,-0.06269999999999999,-0.08810000000000001,-0.0154,-0.055999999999999994,-0.10189999999999999,0.1794,-0.0369,-0.0707,-0.0395,-0.025099999999999997,-0.08800000000000001,-0.017
2000-03,0.07429999999999999,0.10890000000000001,0.1106,0.1192,-0.0388,0.042199999999999994,0.0827,0.058899999999999994,0.13390000000000002,-0.0003,0.16949999999999998,0.0521
2000-04,-0.0196,0.08689999999999999,0.018000000000000002,-0.0231,0.0019,-0.1052,-0.0833,0.0742,-0.044800000000000006,0.0504,-0.0369,-0.0033
2000-05,0.071,-0.1231,-0.0269,0.09390000000000001,0.0197,-0.10859999999999999,-0.09970000000000001,0.039599999999999996,-0.028300000000000002,0.037200000000000004,0.049699999999999994,-0.0202
2000-06,0.0218,-0.08990000000000001,-0.002,-0.050499999999999996,-0.051399999999999994,0.1261,0.039900000000000005,-0.046799999999999994,-0.022099999999999998,0.1099,-0.042800000000000005,0.0123
2000-07,0.0072,0.0473,-0.017,-0.0268,-0.0091,-0.0516,-0.0674,0.0387,-0.012199999999999999,-0.06509999999999999,0.0863,-0.0034999999999999996
2000-08,-0.0208,0.054400000000000004,0.09699999999999999,0.0875,0.0232,0.127,-0.0149,0.1166,-0.024,0.035,0.1011,0.0755
2000-09,0.0373,-0.0416,-0.0776,0.045599999999999995,-0.0078000000000000005,-0.1479,-0.044500000000000005,0.08800000000000001,0.026600000000000002,0.036699999999999997,0.0248,-0.0392
2000-10,0.0748,0.0255,0.0203,-0.0281,0.0641,-0.0747,-0.0017000000000000001,-0.0167,-0.0175,0.0206,-0.0053,-0.029300000000000003
2000-11,0.027000000000000003,-0.1114,-0.0518,-0.0252,0.0137,-0.2321,-0.1653,0.0296,-0.0104,0.0075,-0.0512,-0.0802
2000-12,0.054400000000000004,0.0008,0.066,0.075,0.0768,-0.0806,-0.042699999999999995,0.0647,0.0567,0.0349,0.098,-0.005699999999999999
2001-01,-0.0218,0.1305,0.015600000000000001,-0.034300000000000004,-0.059000000000000004,0.1623,0.155,-0.1023,0.0641,-0.0851,-0.0046,0.032400000000000005
2001-02,0.0014000000000000002,-0.0125,-0.048799999999999996,-0.0003,-0.0152,-0.2611,-0.10300000000000001,0.061799999999999994,-0.0533,-0.0054,-0.0507,-0.0246
2001-03,-0.0478,-0.0333,-0.058499999999999996,-0.001,-0.0646,-0.1389,-0.06,0.0105,-0.0287,-0.0859,-0.0332,-0.073
2001-04,0.0092,0.087,0.0968,0.1002,0.0313,0.18,0.0401,0.0541,0.055999999999999994,0.0425,0.040999999999999995,0.1093
2001-05,0.034,-0.015600000000000001,0.018600000000000002,0.001,0.0279,-0.0326,-0.0163,0.004699999999999999,0.0161,0.0277,0.036699999999999997,0.0366
2001-06,-0.0152,0.0379,-0.061900000000000004,-0.0746,-0.013000000000000001,0.013999999999999999,-0.0268,-0.061500000000000006,-0.0258,-0.0298,0.0069,-0.0177
2001-07,-0.0054,0.0326,0.004,-0.0223,0.0086,-0.0754,-0.0096,-0.0384,0.0455,0.022799999999999997,-0.0063,-0.061500000000000006
2001-08,0.0199,-0.1005,-0.0331,-0.035,0.005699999999999999,-0.1263,-0.0864,0.0053,-0.0692,-0.031,-0.0526,-0.0516
2001-09,-0.0352,-0.1727,-0.15960000000000002,-0.061799999999999994,-0.051100000000000007,-0.1905,-0.0235,-0.066,-0.0951,-0.0063,-0.0553,-0.1399
2001-10,0.0128,0.010700000000000001,0.0481,0.051399999999999994,0.0215,0.1574,-0.09570000000000001,0.0176,0.015700000000000002,0.0126,-0.015300000000000001,0.0070999999999999995
2001-11,0.0258,0.1501,0.0882,-0.0421,0.0767,0.1597,0.058499999999999996,-0.0143,0.0981,0.050199999999999995,0.0673,0.08410000000000001
2001-12,0.0189,-0.0084,0.0395,0.059699999999999996,-0.0016,-0.0068000000000000005,0.026000000000000002,0.0404,0.0434,-0.0282,0.0315,0.052199999999999996
2002-01,0.0087,0.0285,0.02,-0.0287,0.005699999999999999,-0.004699999999999999,-0.07150000000000001,-0.0433,0.026099999999999998,-0.0241,-0.011899999999999999,-0.0269
2002-02,0.0424,0.0327,0.045899999999999996,0.0556,0.038599999999999995,-0.1318,-0.0275,-0.0036,-0.0015,-0.0045000000000000005,-0.0111,0.02
2002-03,0.038,0.0689,0.0489,0.07690000000000001,0.05,0.0649,0.0036,0.10289999999999999,0.0209,0.0054,0.0629,0.0248
2002-04,0.0212,0.019299999999999998,-0.0103,-0.0455,-0.0256,-0.11900000000000001,-0.1276,-0.0042,-0.016200000000000003,-0.0755,-0.0102,-0.0762
2002-05,0.0127,-0.0043,-0.0084,-0.0074,0.010700000000000001,-0.0355,0.03,-0.0692,-0.0144,-0.022799999999999997,-0.0016,-0.0174
2002-06,-0.0605,-0.0816,-0.0369,0.0001,-0.013999999999999999,-0.122,-0.14400000000000002,-0.0581,-0.051,-0.0953,-0.047599999999999996,-0.0613
2002-07,-0.0663,-0.1192,-0.10099999999999999,-0.1183,-0.050499999999999996,-0.0968,-0.1167,-0.12140000000000001,-0.1143,-0.0276,-0.0703,-0.046
2002-08,0.0225,0.0062,-0.0276,0.0063,0.0174,-0.0095,0.002,0.034,0.0184,0.006500000000000001,0.0225,-0.0197
2002-09,-0.07730000000000001,-0.109,-0.09789999999999999,-0.0785,-0.0547,-0.16670000000000001,-0.09849999999999999,-0.10880000000000001,-0.0944,-0.058899999999999994,-0.1041,-0.1108
2002-10,0.0506,-0.0271,0.0403,0.031400000000000004,0.033,0.1945,0.2194,-0.0060999999999999995,0.0572,0.056799999999999996,0.0728,0.0384
2002-11,-0.0109,0.1199,0.08410000000000001,0.0302,0.0213,0.16329999999999997,0.11810000000000001,0.0158,0.019,0.0378,0.0322,0.0713
2002-12,-0.0023,-0.0652,-0.050300000000000004,0.0084,-0.013600000000000001,-0.12960000000000002,-0.0951,0.0383,-0.0699,-0.0409,-0.0425,-0.06280000000000001
2003-01,-0.0393,-0.034,-0.0444,-0.025,-0.0336,-0.0151,-0.041100000000000005,-0.0321,-0.047599999999999996,-0.006,-0.0161,-0.0462
2003-02,-0.0288,-0.0479,-0.0182,0.0195,-0.031400000000000004,0.011899999999999999,-0.0645,-0.0398,-0.0121,-0.0196,-0.0326,-0.0101
2003-03,-0.0262,-0.025699999999999997,-0.0116,0.015,0.0616,-0.0095,-0.0043,0.0431,0.046799999999999994,0.0373,0.0021,0.0341
2003-04,0.0438,0.1505,0.0672,-0.004699999999999999,0.0554,0.0924,0.11259999999999999,0.0723,0.0897,0.042699999999999995,0.1114,0.1291
2003-05,0.09539999999999998,0.0286,0.0621,0.0866,0.0181,0.09759999999999999,0.0632,0.1016,0.0348,0.0394,0.056100000000000004,0.0431
2003-06,0.0166,0.0242,0.0182,-0.0096,-0.0191,0.0034000000000000002,0.0209,0.0106,0.0344,0.0416,0.0064,0.0165
2003-07,-0.0169,0.0667,0.0596,-0.0262,0.0298,0.0559,-0.0171,-0.054299999999999994,0.0329,0.0048,0.0437,0.0167
2003-08,0.0029,0.0803,0.057,0.061900000000000004,0.008,0.060899999999999996,0.0126,0.0192,0.0673,-0.0282,-0.0053,0.037200000000000004
2003-09,0.011399999999999999,-0.0421,-0.052199999999999996,-0.0218,-0.005600000000000001,-0.009300000000000001,-0.0552,0.0384,-0.0454,0.003,0.0058,-0.0058
2003-10,0.0593,0.0731,0.1059,0.0165,0.0541,0.08259999999999999,0.0683,0.0151,0.09029999999999999,0.0087,0.0696,0.047599999999999996
2003-11,0.0359,0.030699999999999998,0.026699999999999998,0.006500000000000001,0.008100000000000001,0.018600000000000002,-0.0063,0.0095,0.005600000000000001,0.0182,0.0096,0.0167
2003-12,0.0344,0.11900000000000001,0.0725,0.136,0.0559,0.021400000000000002,0.0757,0.058600000000000006,-0.0213,0.0564,0.0414,0.0462
2004-01,0.0006,-0.0076,-0.0086,0.0023,-0.0034000000000000002,0.044800000000000006,0.0165,0.0191,0.0045000000000000005,0.031,0.0339,0.0166
2004-02,0.0426,0.0,0.0154,0.0454,0.0292,-0.029300000000000003,-0.0042,0.021099999999999997,0.061,0.0089,0.028900000000000002,0.0003
2004-03,-0.0009,-0.013600000000000001,-0.005699999999999999,0.0002,0.0036,-0.025099999999999997,-0.0203,0.011399999999999999,0.0028000000000000004,-0.0391,-0.0070999999999999995,-0.0055000000000000005
2004-04,0.0141,0.0246,-0.0087,0.026600000000000002,0.013500000000000002,-0.0492,-0.0043,-0.035699999999999996,-0.027200000000000002,0.0351,-0.0426,-0.021
2004-05,-0.0191,-0.016399999999999998,0.018600000000000002,0.0055000000000000005,0.0125,0.048600000000000004,-0.0296,0.0126,0.003,-0.0042,0.015600000000000001,0.0209
2004-06,0.0167,0.053399999999999996,0.0616,0.0546,0.0345,0.026600000000000002,0.008,0.0203,0.0003,-0.005,0.0054,0.0337
2004-07,-0.059699999999999996,-0.0464,-0.0395,0.0332,-0.042800000000000005,-0.0852,-0.01,0.0106,-0.0403,-0.0593,-0.0223,-0.025099999999999997
2004-08,0.0079,-0.0223,0.0002,-0.0138,0.042699999999999995,-0.0452,0.011699999999999999,0.036699999999999997,-0.012,0.016399999999999998,0.031200000000000002,-0.0076
2004-09,-0.0202,0.023,0.0292,0.0882,-0.0015,0.0344,0.013300000000000001,0.0138,0.026099999999999998,-0.0141,0.0012,0.0329
2004-10,0.028399999999999998,-0.03,-0.0132,0.0064,-0.0174,0.051399999999999994,0.0331,0.0424,0.030600000000000002,-0.024300000000000002,0.0062,0.0213
2004-11,0.0461,0.0727,0.07780000000000001,0.0658,0.059800000000000006,0.0572,0.0363,0.0489,0.036699999999999997,0.0067,0.0461,0.048600000000000004
2004-12,0.04769999999999999,0.048799999999999996,0.0209,-0.0231,0.0348,0.030899999999999997,0.0418,0.0248,0.035,0.056600000000000004,0.0416,0.0489
2005-01,0.0023,-0.0702,-0.0203,0.030299999999999997,-0.0115,-0.0635,-0.0424,0.0176,-0.0103,-0.0408,-0.0208,-0.0235
2005-02,0.0073,-0.0025,0.0403,0.1945,0.0416,0.0002,-0.0044,0.0236,0.0063,0.024399999999999998,-0.0025,0.0096
2005-03,-0.0085,-0.08,-0.0159,-0.0344,-0.009399999999999999,-0.0255,-0.0004,0.0060999999999999995,0.0022,-0.0048,-0.0323,-0.0064
2005-04,-0.0096,-0.1105,-0.0508,-0.056100000000000004,-0.0381,-0.0449,-0.02,0.0213,-0.0528,0.0395,-0.0087,-0.030299999999999997
2005-05,0.0233,0.08810000000000001,0.0403,0.021,0.005,0.0823,0.015,0.0166,0.0643,0.0148,0.0332,0.031
2005-06,-0.0167,0.021,-0.006999999999999999,0.0576,-0.0219,-0.0169,0.0019,0.0556,0.024399999999999998,-0.0058,0.0242,-0.005
2005-07,0.0271,0.0542,0.06559999999999999,0.058899999999999994,0.0432,0.0608,0.0313,0.0298,0.0583,0.037200000000000004,0.0174,0.038599999999999995
2005-08,0.0008,-0.0287,-0.0042,0.0581,-0.0338,-0.0038,-0.012,0.0125,-0.055999999999999994,-0.0031,-0.014499999999999999,-0.0206
2005-09,0.0037,-0.0434,0.0109,0.0726,0.0031,0.006999999999999999,-0.0147,0.0438,-0.018000000000000002,-0.019299999999999998,0.011699999999999999,0.0124
2005-10,-0.015,-0.0521,-0.0318,-0.1016,-0.0060999999999999995,-0.0177,-0.030299999999999997,-0.06849999999999999,0.0154,-0.0326,0.025099999999999997,-0.0132
2005-11,0.009899999999999999,0.022099999999999998,0.066,0.0101,0.027000000000000003,0.0653,0.0264,-0.0022,0.0394,0.0159,0.0449,0.056799999999999996
2005-12,-0.0007000000000000001,-0.006500000000000001,0.0155,0.0044,0.012,-0.0196,-0.0173,0.0124,-0.0059,0.024,0.0031,0.0
2006-01,0.001,0.0579,0.0625,0.12539999999999998,0.028999999999999998,0.039900000000000005,0.038599999999999995,0.030299999999999997,0.020099999999999996,0.0219,0.0129,0.023
2006-02,0.0115,-0.0038,0.013500000000000002,-0.0814,0.0031,-0.0101,0.033,0.0023,0.013999999999999999,0.0105,0.016,-0.002
2006-03,0.0124,0.026600000000000002,0.0436,0.04,0.0011,0.028900000000000002,0.018000000000000002,-0.0365,0.024300000000000002,-0.0101,0.0064,0.043
2006-04,0.0105,0.0028000000000000004,0.0475,0.0452,0.0258,-0.011399999999999999,0.0147,0.0182,-0.0158,-0.018600000000000002,0.0281,0.0085
2006-05,0.0106,0.0063,-0.0344,-0.0346,-0.0313,-0.069,0.0,0.0151,-0.0187,-0.022000000000000002,-0.036000000000000004,-0.0215
2006-06,0.003,0.0187,-0.0063,0.0273,-0.002,-0.014199999999999999,0.029500000000000002,0.0242,0.0029,-0.0011,-0.0043,-0.0025
2006-07,0.0355,-0.0301,-0.0454,0.0506,-0.016,-0.0381,0.024399999999999998,0.0483,-0.0429,0.0412,0.0138,-0.053
2006-08,0.030600000000000002,0.023700000000000002,0.0034000000000000002,-0.032400000000000005,0.0584,0.07429999999999999,0.022799999999999997,0.022799999999999997,0.0222,0.0233,0.015,0.022400000000000003
2006-09,-0.006500000000000001,0.042199999999999994,0.019799999999999998,-0.0381,0.0168,0.0363,0.0366,-0.0212,0.056900000000000006,0.015300000000000001,0.0359,0.024300000000000002
2006-10,0.0281,0.0496,0.0454,0.052000000000000005,0.0417,0.0409,0.052000000000000005,0.0536,0.0392,0.017,0.020099999999999996,0.0484
2006-11,0.014499999999999999,0.018000000000000002,0.0463,0.0859,0.0125,0.030699999999999998,0.0063,0.030600000000000002,-0.0123,0.0007000000000000001,0.009000000000000001,0.0292
2006-12,0.0202,-0.008100000000000001,0.0005,-0.019299999999999998,0.015,-0.0095,0.0433,0.0073,0.0146,0.0013,0.0375,0.0207
2007-01,0.0154,0.0291,0.032799999999999996,-0.013300000000000001,0.028999999999999998,0.019799999999999998,0.0273,0.0048,0.0364,0.0351,0.0037,0.024
2007-02,-0.0149,-0.004,0.009300000000000001,-0.0212,0.0022,-0.0235,-0.0278,0.0416,-0.0068000000000000005,-0.0285,-0.0252,-0.018500000000000003
2007-03,0.0265,-0.011000000000000001,0.02,0.059000000000000004,0.0087,0.0087,0.0231,0.0433,0.008,-0.0025,-0.0037,-0.0003
2007-04,0.0362,0.0621,0.054000000000000006,0.0513,0.0232,0.0487,0.0174,0.0392,0.022799999999999997,0.0678,0.0364,0.0265
2007-05,0.0288,0.0317,0.0617,0.07150000000000001,0.0172,0.039,0.0731,0.011899999999999999,0.0236,0.011399999999999999,0.0281,0.0388
2007-06,-0.0106,0.018799999999999997,-0.0059,0.0086,-0.0088,0.0053,-0.018000000000000002,-0.0482,-0.0197,-0.0337,-0.0368,-0.0102
2007-07,-0.0415,-0.057999999999999996,-0.0006,-0.011000000000000001,0.0005,-0.0103,-0.0311,-0.0373,-0.053200000000000004,-0.04019999999999999,-0.07429999999999999,-0.01
2007-08,0.0182,-0.0179,-0.002,0.0023,0.027000000000000003,0.0288,-0.0086,0.0184,0.015300000000000001,0.0232,0.0161,0.0045000000000000005
2007-09,0.04,0.0172,0.05,0.0784,0.064,0.04190000000000001,0.020499999999999997,0.0348,-0.006500000000000001,0.0354,0.0189,0.0398
2007-10,0.0218,0.0095,0.0043,0.0279,0.0217,0.0678,-0.0218,0.06559999999999999,0.011699999999999999,0.0141,-0.0144,0.0338
2007-11,0.0085,-0.08960000000000001,-0.0408,-0.0434,0.0040999999999999995,-0.0756,-0.0625,-0.0070999999999999995,-0.0373,0.0001,-0.062,-0.055099999999999996
2007-12,-0.0101,-0.0216,0.0069,0.077,0.0163,0.0147,-0.0025,0.009000000000000001,-0.0268,-0.0395,-0.041299999999999996,-0.0233
2008-01,-0.0519,-0.052000000000000005,-0.0748,-0.0911,-0.0732,-0.1242,-0.07780000000000001,-0.0693,-0.004699999999999999,-0.0461,-0.011200000000000002,-0.0362
2008-02,-0.0013,-0.06,-0.0017000000000000001,0.0694,0.026099999999999998,-0.0359,-0.0385,-0.030299999999999997,-0.04650000000000001,-0.009300000000000001,-0.1081,-0.0271
2008-03,0.0118,-0.0414,-0.0087,-0.028900000000000002,0.0128,0.0070999999999999995,-0.0005,0.008100000000000001,0.018500000000000003,-0.0177,-0.0393,0.0124
2008-04,-0.0115,0.06559999999999999,0.063,0.1063,0.026600000000000002,0.065,0.0462,0.0639,0.0501,0.0043,0.055099999999999996,0.0033
2008-05,0.0338,0.013300000000000001,0.042,0.042800000000000005,0.0149,0.056900000000000006,0.0479,0.0359,0.011899999999999999,0.016200000000000003,-0.042300000000000004,0.0060999999999999995
2008-06,-0.07339999999999999,-0.195,-0.10800000000000001,0.0282,-0.058899999999999994,-0.0888,-0.1092,-0.0040999999999999995,-0.0809,-0.0301,-0.1754,-0.1036
2008-07,0.0226,-0.0066,-0.0206,-0.1566,0.0331,-0.0060999999999999995,-0.030899999999999997,-0.071,0.011399999999999999,0.0675,0.0721,0.002
2008-08,0.0172,0.0166,0.0148,-0.0004,0.0131,0.024,0.04,-0.0046,0.053899999999999997,0.0177,0.0039000000000000003,0.0115
2008-09,-0.0296,-0.08990000000000001,-0.1582,-0.12119999999999999,-0.0924,-0.1251,-0.1261,-0.1184,-0.0576,-0.059500000000000004,-0.048799999999999996,-0.0858
2008-10,-0.1341,-0.3362,-0.2371,-0.1678,-0.1558,-0.1808,-0.1553,-0.1112,-0.1508,-0.1103,-0.2018,-0.19260000000000002
2008-11,-0.0437,-0.10710000000000001,-0.0796,0.0014000000000000002,-0.0723,-0.1081,-0.0158,0.0126,-0.0768,-0.0733,-0.1423,-0.0944
2008-12,0.0087,0.0017000000000000001,0.037000000000000005,-0.024300000000000002,-0.0217,0.0206,0.0347,-0.0204,0.0489,0.0674,0.015300000000000001,-0.0009
2009-01,-0.050499999999999996,-0.12689999999999999,-0.0947,-0.0353,-0.08810000000000001,-0.031400000000000004,-0.1032,-0.0084,-0.0761,-0.022000000000000002,-0.2079,-0.1277
2009-02,-0.0766,-0.12140000000000001,-0.15839999999999999,-0.1251,-0.09759999999999999,-0.0508,-0.0695,-0.1252,-0.0305,-0.1082,-0.15410000000000001,-0.1336
2009-03,0.0644,0.12210000000000001,0.08689999999999999,0.039599999999999996,0.059800000000000006,0.11539999999999999,0.0795,0.0282,0.0998,0.0741,0.1475,0.1067
2009-04,0.049699999999999994,0.4432,0.2094,0.0454,0.11019999999999999,0.12380000000000001,0.0965,0.0209,0.09539999999999998,-0.009399999999999999,0.17120000000000002,0.1474
2009-05,0.0716,-0.0322,0.0512,0.105,0.0617,0.0302,0.0105,0.0464,-0.009300000000000001,0.0621,0.1001,0.0318
2009-06,0.006500000000000001,0.044000000000000004,-0.0118,-0.0478,-0.027000000000000003,0.044800000000000006,0.0165,0.0464,-0.0029,0.0361,-0.018000000000000002,-0.0212
2009-07,0.0731,0.19760000000000003,0.107,0.0535,0.1246,0.0814,0.0554,0.0441,0.0677,0.0548,0.0866,0.09910000000000001
2009-08,0.0074,0.025,0.0475,0.0078000000000000005,-0.0016,0.023,0.0073,0.0025,0.0371,0.022000000000000002,0.0999,0.0395
2009-09,0.042300000000000004,0.021,0.0646,0.0512,0.0663,0.052199999999999996,0.0649,0.022400000000000003,0.024,0.0218,0.013600000000000001,0.0616
2009-10,-0.0062,-0.0060999999999999995,-0.037200000000000004,0.0248,-0.0129,-0.0148,-0.0398,-0.0271,0.0004,-0.0347,-0.0495,-0.061799999999999994
2009-11,0.038599999999999995,0.10369999999999999,0.0721,0.0322,0.0833,0.0487,0.0684,0.0458,0.05,0.08070000000000001,0.0466,0.07780000000000001
2009-12,0.0264,0.0565,0.0467,-0.0052,-0.0033,0.059699999999999996,0.0642,0.0587,0.0195,0.024700000000000003,0.0055000000000000005,0.014199999999999999
2010-01,-0.024,-0.004,-0.0446,-0.048499999999999995,-0.0116,-0.0788,-0.0677,-0.044500000000000005,-0.0183,-0.0001,-0.006500000000000001,-0.0029
2010-02,0.026600000000000002,0.0739,0.058499999999999996,0.0259,0.0405,0.0483,0.0276,-0.0042,0.0429,0.0038,0.0291,0.0464
2010-03,0.057999999999999996,0.09380000000000001,0.078,0.032,0.0408,0.0667,0.07629999999999999,0.031200000000000002,0.0625,0.0363,0.08310000000000001,0.0776
2010-04,-0.0102,0.0727,0.0416,0.0408,0.013000000000000001,0.0229,0.0341,0.0285,0.0252,-0.0218,0.0113,0.0288
2010-05,-0.057300000000000004,-0.0907,-0.0926,-0.1023,-0.0679,-0.07780000000000001,-0.058499999999999996,-0.063,-0.0541,-0.0808,-0.0909,-0.0816
2010-06,-0.0191,-0.10679999999999999,-0.0649,-0.0626,-0.0447,-0.0617,-0.0384,-0.0070999999999999995,-0.0911,-0.0166,-0.0722,-0.0533
2010-07,0.0736,0.15380000000000002,0.1036,0.07690000000000001,0.0872,0.0733,0.0959,0.0681,0.0461,0.021400000000000002,0.0653,0.0705
2010-08,-0.011699999999999999,-0.0958,-0.0736,-0.0344,-0.02,-0.0653,-0.0199,0.0036,-0.0397,-0.017,-0.0849,-0.0479
2010-09,0.061500000000000006,0.1308,0.12300000000000001,0.092,0.060599999999999994,0.12539999999999998,0.0788,0.0365,0.1215,0.09,0.0724,0.106
2010-10,0.044000000000000004,0.08539999999999999,0.0455,0.0458,0.0643,0.0643,0.045599999999999995,0.018600000000000002,0.0241,0.0194,0.0169,0.0254
2010-11,-0.0007000000000000001,0.0732,0.0281,0.055099999999999996,-0.011899999999999999,-0.0070999999999999995,-0.0189,-0.013600000000000001,0.0418,-0.0334,-0.003,0.0165
2010-12,0.0435,0.08900000000000001,0.0731,0.0941,0.06309999999999999,0.0596,0.0659,0.0323,0.0321,0.0545,0.1056,0.0722
2011-01,-0.023700000000000002,-0.0024,0.0441,0.0693,0.0008,0.0392,0.0005,0.0218,-0.0086,-0.0072,0.0254,0.0144
2011-02,0.0472,-0.0215,0.0354,0.07629999999999999,0.032,0.0242,0.07400000000000001,0.0242,0.0226,0.0333,0.027200000000000002,0.032799999999999996
2011-03,0.030299999999999997,0.0187,0.0236,0.021099999999999997,0.0072,-0.0144,0.0168,0.0092,0.011000000000000001,0.0226,-0.0158,-0.0031
2011-04,0.0461,0.0278,0.0199,0.0158,0.0493,0.031,0.0326,0.04,0.0451,0.0625,0.0067,0.0173
2011-05,0.0204,-0.0358,-0.029900000000000003,-0.0451,-0.0043,-0.0175,0.0077,0.0132,0.0088,0.0199,-0.026699999999999998,-0.0262
2011-06,-0.010700000000000001,-0.0109,0.0001,-0.0231,-0.0189,-0.0245,-0.0138,-0.0034000000000000002,-0.0088,-0.0187,-0.023,-0.0181
2011-07,-0.0042,-0.09029999999999999,-0.059500000000000004,0.0049,-0.0231,-0.0053,-0.049800000000000004,-0.0033,-0.0064,-0.036699999999999997,-0.0391,-0.0321
2011-08,-0.0066,-0.1223,-0.076,-0.09910000000000001,-0.0317,-0.0677,-0.0504,0.002,-0.0288,-0.0313,-0.0934,-0.0629
2011-09,-0.0487,-0.13849999999999998,-0.1199,-0.1223,-0.0911,-0.047400000000000005,-0.0572,-0.0161,-0.038900000000000004,-0.0397,-0.1125,-0.10859999999999999
2011-10,0.063,0.23070000000000002,0.1642,0.1625,0.0987,0.1177,0.0761,0.067,0.0975,0.0552,0.13470000000000001,0.1377
2011-11,0.0144,-0.0868,0.0184,0.0215,0.0046,-0.0196,0.003,0.0101,0.010700000000000001,0.013000000000000001,-0.0316,-0.0039000000000000003
2011-12,0.0189,-0.0103,-0.0179,-0.0034999999999999996,0.0125,-0.0143,0.031200000000000002,0.0291,0.009000000000000001,0.0347,0.0176,0.0102
2012-01,0.0039000000000000003,0.1366,0.0815,0.0101,0.0404,0.08470000000000001,0.023700000000000002,-0.0271,0.0406,0.034300000000000004,0.0735,0.0704
2012-02,0.0393,0.059500000000000004,0.0397,0.0652,0.0371,0.0664,0.0507,0.013000000000000001,0.031200000000000002,0.0125,0.06509999999999999,0.0077
